4485923368513585 122026 234, valid, visa
4024007173548750 52028 144, invalid, visa
4556002447029386 72028 854, invalid, visa
4929308161735623 62025 936, invalid, visa
4556006936299756 52029 351, invalid, visa
4539656566613957 42025 843, invalid, visa
4716631678971697 52022 659, invalid, visa
4539023423514854 32029 282, valid, visa
4485185283695273 62027 582, invalid, visa
4532674614588466 32025 801, valid, visa
4485848491744155 112025 735, invalid, visa
4716660125423630 112022 225, invalid, visa
4539190840461140 42027 868, invalid, visa
4916229540427150 92027 688, invalid, visa
4916181751442651 82026 399, invalid, visa
4929834776751416 82026 774, valid, visa
4532755649719273 42028 261, invalid, visa
4863071803007110 22026 814, invalid, visa
4485798574521832 52026 947, invalid, visa
4539314558303670 82027 699, valid, visa
4024007161804082 82025 309, invalid, visa
4716197807436614 122028 393, invalid, visa
4024007192144979 72027 984, invalid, visa
4024007156369901 22027 767, valid, visa
4929973491475750 62026 404, invalid, visa
4024007173216580 102027 947, invalid, visa
4916933978728696 82026 205, invalid, visa
4929560845633794 42028 389, invalid, visa
4532134703180543 72026 439, invalid, visa
4929809468005461 112022 369, invalid, visa
4214717500602076 52028 987, invalid, visa
4485786240393272 112026 495, invalid, visa
4485936285826716 42028 825, invalid, visa
4024007198080540 62023 446, invalid, visa
4539517106460137 92028 181, invalid, visa
4929211354007075 52026 753, invalid, visa
4916083947907847 32029 183, valid, visa
4539168697591920 72027 871, invalid, visa
4716082465420979 92026 639, invalid, visa
4716465650243704 52024 850, invalid, visa
4556580497946500 42022 761, invalid, visa
4716792250244992 112022 722, valid, visa
4916293724278359 12024 677, invalid, visa
4207429992597983 112025 900, invalid, visa
4532184758924196 82024 477, invalid, visa
4916995710169190 32025 780, invalid, visa
4556939019479939 102024 130, invalid, visa
4024007102069993 82025 132, invalid, visa
4916557118349590 102023 222, invalid, visa
4716373555861945 52029 807, invalid, visa
4485181265708549 22024 863, valid, visa
4916591330153761 22023 706, invalid, visa
4532920705369195 42025 801, invalid, visa
4916418833546103 32025 125, invalid, visa
4916907273823394 52028 450, invalid, visa
4929737311487471 112027 548, invalid, visa
4532260847868907 32024 311, invalid, visa
4624582962311002 22027 740, invalid, visa
4556892674237714 62025 522, invalid, visa
4929646251865176 82023 521, invalid, visa
4950351357489912 92024 495, invalid, visa
4916289736442421 32029 853, invalid, visa
4485644382686930 32023 312, invalid, visa
4532443255778269 112025 769, invalid, visa
4238977668136687 122022 939, invalid, visa
4485547936460662 22024 238, invalid, visa
4556272359766388 72029 556, valid, visa
4485759109599875 102024 961, invalid, visa
4539178669603868 112025 718, invalid, visa
4916792562156676 102028 566, invalid, visa
4532477536579997 52023 724, invalid, visa
4716204982736071 72024 680, valid, visa
4120929863051535 72026 812, invalid, visa
4929782163596060 62027 783, invalid, visa
4539605002944492 92025 308, invalid, visa
4532439748213252 62029 180, invalid, visa
4485114757300129 62028 962, invalid, visa
4532789216635265 52024 772, invalid, visa
4539717957018758 22027 578, invalid, visa
4532275210287006 32026 495, invalid, visa
4305976012584988 112029 840, invalid, visa
4026646937893925 82029 527, invalid, visa_electron
4916818170392732 62023 437, valid, visa
4929336207665108 82025 606, invalid, visa
4916749114464214 92026 449, invalid, visa
4556047921846953 82022 953, invalid, visa
4539381179823048 12026 472, valid, visa
4929111253239318 62025 794, invalid, visa
4485041695361956 102023 563, invalid, visa
4236542817527103 102027 368, valid, visa
4532106864781855 32026 471, invalid, visa
4539809415352562 12022 434, invalid, visa
4106401967572855 42023 202, invalid, visa
4532893176674759 52027 851, valid, visa
4532749030200688 32029 794, invalid, visa
4539081612770034 42023 716, invalid, visa
4556320817872866 102024 449, invalid, visa
4532397838809803 92029 623, invalid, visa
4539460194204069 32026 968, invalid, visa
4556320959029952 82025 920, invalid, visa
4916056373137931 32022 295, valid, visa
4485707122537190 92029 811, invalid, visa
4556924111781283 102022 152, invalid, visa
4929920389745984 102023 647, invalid, visa
4556865975649977 102027 122, invalid, visa
4539377751537220 102027 967, invalid, visa
4929168356333984 22022 601, invalid, visa
4485785149878771 82023 102, valid, visa
4539110229691554 72028 261, invalid, visa
4024007120254114 12025 484, invalid, visa
4024007102452116 52023 640, invalid, visa
4814333973032975 102025 552, invalid, visa
4937831405782705 42025 176, invalid, visa
4929088388381530 92028 458, invalid, visa
4024007132837989 102026 486, invalid, visa
4556874843683853 82026 813, invalid, visa
4916450970066835 102027 362, invalid, visa
4716672470615082 62028 261, valid, visa
4024007166496579 52023 683, invalid, visa
4916082846919424 22024 222, invalid, visa
4929780534288136 112026 743, invalid, visa
4539733912451869 12026 724, invalid, visa
4485709641893708 22025 751, invalid, visa
4539646674606845 92024 984, invalid, visa
4024007149866302 12025 275, invalid, visa
4929121278238328 102023 721, invalid, visa
4539651154093977 112027 836, invalid, visa
4916568426782661 102028 625, valid, visa
4197645161031676 82025 466, invalid, visa
4539471071802370 22028 802, invalid, visa
4024007185212742 92027 330, invalid, visa
4485044852733827 12027 960, invalid, visa
4556098084874613 72025 241, invalid, visa
4485063889438358 62028 185, invalid, visa
4556381312513603 92023 304, invalid, visa
4024007132101667 12027 299, invalid, visa
4929613847421294 82024 666, invalid, visa
4539859630648666 42024 397, invalid, visa
4616581813698096 22026 604, invalid, visa
4485096593248358 22026 890, invalid, visa
4127599200094028 102027 966, valid, visa
4929123047517040 42028 932, invalid, visa
4024007124174649 72025 537, invalid, visa
4556710277394163 72028 440, invalid, visa
4716892291527932 112023 532, invalid, visa
4532965441343251 82024 773, invalid, visa
4556195997334287 22027 160, invalid, visa
4539562356462763 122025 208, invalid, visa
4762937473303322 72023 989, valid, visa
4539416964778328 72028 930, invalid, visa
4929268025781280 102027 309, invalid, visa
4532363721134303 112023 597, invalid, visa
4485521405924722 12024 269, invalid, visa
4532933125983172 52023 487, invalid, visa
4929285866658567 22022 821, invalid, visa
4916734147954563 112027 388, invalid, visa
4433576342497375 22025 438, invalid, visa
4539173451575598 52025 833, invalid, visa
4532968335364581 52028 939, invalid, visa
4024007154081441 122025 677, invalid, visa
4929217906087168 32024 367, invalid, visa
4532083429904712 102027 528, invalid, visa
4556444613699628 82024 269, invalid, visa
4485989420372344 102022 725, invalid, visa
4024007186478433 12024 404, invalid, visa
4556982095117668 12027 871, invalid, visa
4532994650590212 32028 589, invalid, visa
4716334544460652 52029 936, invalid, visa
4556756398881489 62027 323, invalid, visa
4532574036154428 72022 202, invalid, visa
4716774721675640 22023 512, invalid, visa
4427660180804419 82023 742, invalid, visa
4929157459982383 22022 189, invalid, visa
4929397249714601 52024 880, invalid, visa
4532710814227594 42025 105, invalid, visa
4485343415571579 122026 276, invalid, visa
4024007119516291 112026 610, invalid, visa
4539794873959670 122024 486, valid, visa
4532721773772173 82026 341, invalid, visa
4929155095334225 112023 694, invalid, visa
4716766805154708 92025 755, invalid, visa
4532482844586981 12026 480, valid, visa
4485015561426903 32025 479, invalid, visa
4925656384667849 22022 397, invalid, visa
4916790564141571 112027 736, invalid, visa
4539254600319771 52022 605, valid, visa
4929642683031818 92027 821, invalid, visa
4485460619827811 32025 900, valid, visa
4250959998508390 92028 578, invalid, visa
4929065746868689 12023 700, invalid, visa
4916393735705190 122026 988, valid, visa
4539494064126573 32028 705, invalid, visa
4532185082937853 112024 234, invalid, visa
4916216310489569 102027 965, invalid, visa
4929100167576428 32027 416, invalid, visa
4539092146035760 72025 463, valid, visa
4024007129031661 72023 963, valid, visa
4809727916581443 72027 481, invalid, visa
4929697291588393 122027 892, invalid, visa
4716580280722156 62024 632, invalid, visa
4024007116360503 102024 772, invalid, visa
4485574073199952 102029 722, invalid, visa
4916987001771495 52028 832, invalid, visa
4929578125695283 12022 600, invalid, visa
4716750819019644 52028 385, invalid, visa
4907731084693049 62028 689, invalid, visa
4485797408055611 102024 947, invalid, visa
4716318910261091 82023 326, valid, visa
4445870680545903 52029 871, invalid, visa
4716803070519636 72028 974, invalid, visa
4929812097605404 112028 620, invalid, visa
4916399313433022 52023 150, invalid, visa
4532441379017796 32025 969, invalid, visa
4532905961584363 32026 385, invalid, visa
4485749507303442 32028 260, invalid, visa
4131373614199953 32025 214, invalid, visa
4539132500862506 92023 329, invalid, visa
4485985504163807 122029 306, invalid, visa
4024007102606307 72025 799, invalid, visa
4556434105283171 92023 889, invalid, visa
4024007143300381 92025 490, invalid, visa
4916497540469577 92027 179, invalid, visa
4556135445589058 12027 778, invalid, visa
4916630687040500 112023 839, valid, visa
4583374247012020 122028 273, invalid, visa
4539723674496962 32026 712, invalid, visa
4532962419673215 62024 517, invalid, visa
4532512422919459 32022 641, invalid, visa
4716929934626190 112026 644, valid, visa
4024007162115116 72026 920, invalid, visa
4024007138787865 112028 954, invalid, visa
4532416935509403 112027 817, invalid, visa
4929336810876381 72022 729, invalid, visa
4556028507232222 82028 206, invalid, visa
4716268669989923 102027 698, invalid, visa
4024007165350199 122023 922, invalid, visa
4556811626429138 42025 223, invalid, visa
4556446508430563 52027 831, invalid, visa
4916409820040846 92023 915, invalid, visa
4716872983475186 82024 693, invalid, visa
4024007107368960 42028 817, invalid, visa
4485238056934302 102027 603, invalid, visa
4929831924996265 42027 349, invalid, visa
4991692935933215 32024 131, invalid, visa
4916130432150811 42028 318, invalid, visa
4929077878558434 32025 141, invalid, visa
4916340319644097 62027 781, invalid, visa
4122139910548529 112026 839, invalid, visa
4929696887701717 72022 373, invalid, visa
4929200173870722 72024 110, valid, visa
4716793491113665 52026 149, invalid, visa
4166690362559924 72029 469, invalid, visa
4192925997441801 112027 567, invalid, visa
4556200327972630 72026 553, invalid, visa
4240935615086104 62028 595, invalid, visa
4509801425234209 72026 234, invalid, visa
4485960211947511 102022 680, valid, visa
4916936005245550 42023 107, invalid, visa
4556602337561339 72028 800, invalid, visa
4916697246884389 12025 776, invalid, visa
4916231565663370 102023 133, valid, visa
4024007148221681 32023 933, invalid, visa
4916877529009314 62026 467, invalid, visa
4916276098752323 52025 722, invalid, visa
4556494950735360 92026 991, invalid, visa
4916652915025350 32024 137, invalid, visa
4485390935710971 72026 412, valid, visa
4539563493132780 112023 527, invalid, visa
4716629742807558 112027 994, invalid, visa
4556642065424201 82024 407, valid, visa
4916612176831102 22024 159, invalid, visa
4716807038722943 102026 480, invalid, visa
4539199219990654 12026 973, invalid, visa
4916340435276501 92028 816, invalid, visa
4929749097596839 62023 350, invalid, visa
4485553969753783 32028 829, invalid, visa
4485508571033131 82023 725, invalid, visa
4485929474796949 12027 549, invalid, visa
4929847985737117 42023 908, invalid, visa
4605077808111768 42027 448, invalid, visa
4716281170245487 32028 930, invalid, visa
4716802380506499 72024 358, invalid, visa
4716038481949680 122023 548, invalid, visa
4891724979138079 32028 266, invalid, visa
4556664735423272 72027 353, invalid, visa
4024007119354446 22025 595, invalid, visa
4485022722402450 82026 333, invalid, visa
4716497610843778 22023 628, invalid, visa
4929084536936077 102027 297, invalid, visa
4929806171940950 32024 632, invalid, visa
4556311784926363 22023 918, invalid, visa
4024007170223902 112025 136, invalid, visa
4539029209998948 12027 703, invalid, visa
4539802434996196 32028 443, invalid, visa
4485901707037235 42022 513, invalid, visa
4024007141469899 42025 593, valid, visa
4532333703377998 12025 129, invalid, visa
4916593256151472 92024 425, invalid, visa
4024007105680366 32029 409, invalid, visa
4622282455264790 62027 237, invalid, visa
4539282131218717 82024 718, invalid, visa
4965462770876446 72022 102, invalid, visa
4539782904657660 32028 271, invalid, visa
4024007183393916 112027 369, invalid, visa
4556185999468233 12027 259, invalid, visa
4556809878762628 82028 165, invalid, visa
4929303598009866 12025 651, invalid, visa
4485045585728612 42027 391, valid, visa
4916115175190173 72022 291, invalid, visa
4024007147438260 72027 591, invalid, visa
4556987276205224 82026 634, valid, visa
4539637157650806 72026 485, invalid, visa
4716427784864904 62025 657, invalid, visa
4716475141491937 42029 270, invalid, visa
4716991460245811 102025 427, invalid, visa
4556166141277219 92026 950, invalid, visa
4058801125779193 32023 175, invalid, visa
4539569366296883 52029 401, invalid, visa
4532969525835224 62027 828, invalid, visa
4539750714719558 62028 499, invalid, visa
4929848813620053 42027 568, invalid, visa
4583654537827611 112025 722, invalid, visa
4526038260565079 82027 521, invalid, visa
4556695395571117 82023 622, invalid, visa
4024007104338081 62026 815, invalid, visa
4929924365695411 112024 620, valid, visa
4539156265006850 22022 855, invalid, visa
4024007167369031 32023 888, invalid, visa
4532387199205063 102022 463, invalid, visa
4485046112557961 102027 581, invalid, visa
4929607111569697 102028 248, invalid, visa
4485852583019872 22023 789, invalid, visa
4916197648853538 102029 796, invalid, visa
4929204780738751 72024 556, invalid, visa
4024007130310765 12028 561, invalid, visa
4754452563224875 112026 386, invalid, visa
4916785137549599 92025 637, invalid, visa
4716114715327413 32024 794, invalid, visa
4539409003006777 102022 918, invalid, visa
4539434948504827 102023 155, invalid, visa
4716053597648076 112027 681, valid, visa
4485723679800147 112025 792, invalid, visa
4716095325856638 102028 306, invalid, visa
4532851369183020 82028 498, invalid, visa
4485820468125148 52029 321, invalid, visa
4024007102860763 112027 551, invalid, visa
4716606407634816 52028 657, invalid, visa
4716988246888914 32027 694, invalid, visa
4556782444759594 122027 662, invalid, visa
4556168349250618 102029 518, invalid, visa
4485997902565806 92025 478, invalid, visa
4556177091837613 82024 335, invalid, visa
4485632410496596 92026 985, invalid, visa
4929036171478864 52028 836, invalid, visa
4485000736567997 112028 322, invalid, visa
4485856530338459 42022 631, invalid, visa
4929434581170967 122026 900, invalid, visa
4556590231685280 112026 166, invalid, visa
4556632309591600 22028 583, valid, visa
4556633037747951 102025 183, invalid, visa
4716904062493754 52024 329, invalid, visa
4395168716785092 102027 973, valid, visa
4024007168320371 112024 981, valid, visa
4716313043693237 112028 136, invalid, visa
4539656637924540 42022 985, invalid, visa
4916358757019838 102025 737, invalid, visa
4236667845702046 62027 397, invalid, visa
4024007144563284 92026 321, invalid, visa
4539267334956965 92027 825, invalid, visa
4901820327343425 92023 227, invalid, visa
4929843628220074 102025 188, invalid, visa
4929916949708546 42027 723, invalid, visa
4916707446173010 92025 486, invalid, visa
4485255791852987 112026 398, invalid, visa
4556145613675969 102023 281, invalid, visa
4716894529368147 32023 965, invalid, visa
4539585567816303 92024 866, invalid, visa
4250902346699792 82025 376, invalid, visa
4532348551548482 102028 117, invalid, visa
4929180052723095 102025 946, invalid, visa
4485096447622451 42026 303, invalid, visa
4539508049453065 102027 907, invalid, visa
4556781650990372 62023 649, invalid, visa
4716934555303186 82026 357, invalid, visa
4716184816057482 22024 550, invalid, visa
4024007107341207 92022 243, valid, visa
4485300285338927 62024 128, invalid, visa
4716945055354024 112024 926, invalid, visa
4646562914747234 62027 537, valid, visa
4539186509226303 52022 364, invalid, visa
4539526766900886 92025 425, invalid, visa
4929733083936365 62028 796, invalid, visa
4024007169270427 122024 942, invalid, visa
4716389117111314 92025 104, invalid, visa
4539123815002144 102028 462, invalid, visa
4532337001698815 112023 451, invalid, visa
4929147229288856 72025 498, invalid, visa
4929824350425404 102027 386, invalid, visa
4556865466716632 112028 688, invalid, visa
4929952635953906 52029 254, invalid, visa
4485081578417574 92027 400, invalid, visa
4485244969178821 122023 662, valid, visa
4024007167439446 92028 211, invalid, visa
4024007177664249 82025 998, invalid, visa
4716340354097302 72023 836, invalid, visa
4024007199161174 72026 666, invalid, visa
4929712209250489 42025 617, invalid, visa
4556250786141524 62027 905, invalid, visa
4485710727932667 112022 262, invalid, visa
4024007132536086 32027 593, invalid, visa
4532123282373736 32027 646, invalid, visa
4532417480427157 62024 933, invalid, visa
4539904122119600 42022 186, valid, visa
4581243997024604 102024 773, invalid, visa
4532338710831481 22023 191, invalid, visa
4916706272365062 122026 378, invalid, visa
4716657774370799 82023 499, invalid, visa
4929921914349383 22029 331, invalid, visa
4532197117624166 32029 193, invalid, visa
4643264495939131 102025 800, invalid, visa
4532737353622802 52023 239, invalid, visa
4532801690191978 102023 242, valid, visa
4556498246757930 22023 336, invalid, visa
4556977703335249 122025 962, valid, visa
4539716339321120 22024 531, invalid, visa
4716629302330389 102027 776, invalid, visa
4485426849093342 122024 930, invalid, visa
4539257725386658 112029 147, invalid, visa
4024007110036646 12028 437, valid, visa
4539267849077216 42028 820, invalid, visa
4485299228062059 102025 940, invalid, visa
4716642128857857 82024 556, invalid, visa
4485617658381998 72023 430, invalid, visa
4929026424196439 102023 813, invalid, visa
4716882900963149 52028 966, valid, visa
4485230720271609 82028 741, invalid, visa
4485819484281331 32024 520, invalid, visa
4532052406861419 12022 843, invalid, visa
4556514016191785 62029 757, invalid, visa
4539442080544246 102027 894, invalid, visa
4716859602504801 22028 617, valid, visa
4916946491728282 122022 253, invalid, visa
4556273562887409 72026 242, invalid, visa
4929220014579407 22023 125, invalid, visa
4929696531192354 112024 175, invalid, visa
4916537778435806 42028 592, invalid, visa
4916554658391454 52026 700, invalid, visa
4929516072053007 62024 560, invalid, visa
4716102095994266 92027 275, valid, visa
4716584264694803 72027 482, invalid, visa
4532645136497220 32025 668, invalid, visa
4716754120509699 22027 805, invalid, visa
4553008738508973 12028 886, invalid, visa
4911407520718203 22023 204, valid, visa
4716903422561094 62029 864, invalid, visa
4556897243074670 102025 292, invalid, visa
4556166549820727 42029 822, invalid, visa
4929013559286367 102025 678, invalid, visa
4929584597034027 82028 847, invalid, visa
4024007182055185 12023 776, valid, visa
4035959635836412 72026 355, invalid, visa
4539581066582546 32023 784, invalid, visa
4024007182536515 92023 522, valid, visa
4916512613806073 82026 903, invalid, visa
4556492594267485 72025 176, invalid, visa
4485785472181504 82026 336, invalid, visa
4929589223789225 12024 386, valid, visa
4556485743210711 82022 684, invalid, visa
4532293173824285 92024 441, invalid, visa
4916520421187735 82023 154, invalid, visa
4556697039954691 102028 290, invalid, visa
4485465633910816 62025 257, invalid, visa
4916406916670296 42028 941, invalid, visa
4532250280716804 82026 943, invalid, visa
4929385350191792 72026 650, invalid, visa
4024007174919794 42026 433, invalid, visa
4532578258414303 72029 456, invalid, visa
4532637053878722 52027 261, invalid, visa
4359477119569365 32027 592, invalid, visa
4485043970969925 82026 521, invalid, visa
4929349475647823 22029 745, invalid, visa
4716670837083374 42024 700, invalid, visa
4298092113759385 52024 366, invalid, visa
4556184322784655 42026 927, invalid, visa
4916364181615407 42027 921, invalid, visa
4947410795693828 112024 264, invalid, visa
4024007143901469 42025 946, invalid, visa
4485233623522391 52024 350, invalid, visa
4916128022260271 112024 161, invalid, visa
4539894155578485 92024 976, invalid, visa
4024007193260865 62024 744, invalid, visa
4637862342751928 72026 856, invalid, visa
4916439012148016 112028 911, invalid, visa
4207847649639140 22026 383, invalid, visa
4485073642169935 92025 865, valid, visa
4532685061826993 92025 324, invalid, visa
4716550142347377 92028 291, invalid, visa
4532992230010610 82025 676, invalid, visa
4716533339105477 122023 902, invalid, visa
4024007162223613 22025 987, invalid, visa
4539280419110978 82023 298, invalid, visa
4532068387963099 72026 584, invalid, visa
4929039588503142 62027 257, invalid, visa
4532041348957740 12029 147, invalid, visa
4904248958120002 22023 953, invalid, visa
4532075775857445 72026 781, invalid, visa
4556969228754848 32025 723, invalid, visa
4539806633685906 52027 734, invalid, visa
4916334751847235 52026 488, invalid, visa
4916740512611415 52023 932, invalid, visa
4532331082542307 92024 822, invalid, visa
4556594620803876 42023 985, invalid, visa
4716161695408903 112029 684, invalid, visa
4485432686449142 112025 509, valid, visa
4485501987669960 32028 377, invalid, visa
4539951449984547 92023 733, invalid, visa
4532547242845070 22028 781, valid, visa
4539080621813033 102024 995, invalid, visa
4929275248158618 72028 106, invalid, visa
4124097589576726 112023 528, invalid, visa
4716985199154724 102023 482, invalid, visa
4539801771067215 112025 863, invalid, visa
4024007115162025 62027 224, invalid, visa
4556797428690334 92024 329, invalid, visa
4485622265788296 102024 140, invalid, visa
4485631463038032 32022 112, invalid, visa
4929531423918675 32022 736, invalid, visa
4556105344110603 122023 707, invalid, visa
4929224560835361 12027 590, invalid, visa
4556453221257406 102029 851, invalid, visa
4485461482124625 82027 424, invalid, visa
4532535021183920 52024 647, invalid, visa
4556376283154767 72027 238, valid, visa
4716110956827020 52025 260, invalid, visa
4885157909108318 12028 588, invalid, visa
4929974130438597 72022 277, invalid, visa
4929095579588773 32027 769, invalid, visa
4929131932104378 22026 569, invalid, visa
4916646114488088 112028 460, invalid, visa
4556117446453518 122025 459, invalid, visa
4556592700242957 22024 339, invalid, visa
4556008748674002 72024 883, invalid, visa
4981584361052481 22023 198, invalid, visa
4929753313160156 22022 167, invalid, visa
4929966731016582 22025 579, invalid, visa
4929247667828195 32029 730, invalid, visa
4716338486757827 22028 570, invalid, visa
4178102820827964 112027 842, invalid, visa
4532330067036566 112027 578, invalid, visa
4556771499352561 82023 393, invalid, visa
4906000466027734 72024 439, invalid, visa
4532630518310431 112024 264, invalid, visa
4929295557241847 52024 603, invalid, visa
4024007153526511 32026 650, valid, visa
4539774206174767 62029 934, invalid, visa
4539631061631952 22029 779, invalid, visa
4539221522513377 42024 774, invalid, visa
4532569446755442 42022 418, valid, visa
4929480486531951 102029 558, valid, visa
4716931830016906 52025 193, invalid, visa
4716378677461466 102029 592, invalid, visa
4485907504115579 82024 523, invalid, visa
4539309306879054 72023 901, invalid, visa
4539587711378891 62025 575, invalid, visa
4916826691765922 52027 921, invalid, visa
4024007123540717 82023 892, invalid, visa
4929043516679008 92024 951, invalid, visa
4929821371334896 22026 310, invalid, visa
4929433729250939 32022 323, invalid, visa
4686720594239085 92029 328, invalid, visa
4929668511432191 92027 566, invalid, visa
4631368154751853 52028 407, invalid, visa
4024007119635695 92023 113, invalid, visa
4024007107056003 122025 131, invalid, visa
4532145722295187 22024 723, valid, visa
4556579768656947 62027 893, invalid, visa
4916348188985822 82023 507, invalid, visa
4556882946530087 32025 442, invalid, visa
4929595566383765 42025 531, invalid, visa
4916489981393515 82028 947, invalid, visa
4992231350215359 102025 496, valid, visa
4556158101071104 42027 850, invalid, visa
4532373194228268 62024 321, invalid, visa
4331917795969796 12028 308, invalid, visa
4532646551511362 62023 903, invalid, visa
4485669947124127 12026 790, invalid, visa
4929187531872955 102025 983, valid, visa
4929366032535325 112027 302, invalid, visa
4929711665022846 52027 248, invalid, visa
4367421059444437 122024 699, invalid, visa
4916173104243100 72023 783, invalid, visa
4556562543814189 62024 911, invalid, visa
4826531929485231 42023 571, invalid, visa
4539551503725750 112028 338, invalid, visa
4716624657858266 72028 447, invalid, visa
4532319306193106 32026 570, invalid, visa
4532025553153582 72028 119, invalid, visa
4633453629752898 52022 929, invalid, visa
4929609102585179 112026 849, invalid, visa
4556051137848944 92023 273, invalid, visa
4756032236557428 42026 135, invalid, visa
4485009564918065 102028 199, invalid, visa
4929263517230078 32026 902, invalid, visa
4716299327879024 102025 506, invalid, visa
4716704391799396 62024 483, invalid, visa
4024007195990733 112027 919, invalid, visa
4929375404448124 42027 831, invalid, visa
4018403904076690 112023 963, invalid, visa
4556634396735249 92022 853, invalid, visa
4539072769618233 22025 567, invalid, visa
4090476094202970 102024 563, invalid, visa
4916003308822237 22022 416, invalid, visa
4532100309153564 82027 256, invalid, visa
4856846434890607 42023 147, invalid, visa
4532625838627167 62025 372, invalid, visa
4532458229340731 32025 610, invalid, visa
4929837335017724 122029 666, invalid, visa
4532143705836994 92024 921, invalid, visa
4539758721539265 82025 867, valid, visa
4024007199700765 82024 684, invalid, visa
4916600953969567 92023 816, invalid, visa
4485591413491667 102024 120, invalid, visa
4916853973806109 12028 757, invalid, visa
4929829382294975 82028 209, invalid, visa
4916609478444261 92026 972, invalid, visa
4556120804422729 72024 245, invalid, visa
4532544791044486 62027 867, valid, visa
4034861638047446 122025 565, invalid, visa
4024007155702599 72025 966, invalid, visa
4532007371356936 12023 609, invalid, visa
4539247862307104 22026 779, invalid, visa
4556261744750504 62026 919, valid, visa
4916795969035666 62025 198, invalid, visa
4532686757057901 112025 346, valid, visa
4916397987922957 72026 513, invalid, visa
4716726440252754 62026 120, invalid, visa
4716908680051340 82027 699, valid, visa
4556459117304301 82026 367, invalid, visa
4532013060221704 42024 404, invalid, visa
4539695415434744 22027 538, invalid, visa
4532346916038074 32029 920, invalid, visa
4716276213021002 52028 338, invalid, visa
4716934524750699 112022 836, invalid, visa
4556248800649258 102029 737, invalid, visa
4024007117639319 62025 970, invalid, visa
4485773888734371 22025 690, invalid, visa
4539098834824316 12022 374, invalid, visa
4916304724235438 42027 771, valid, visa
4024007186222591 92024 200, invalid, visa
4916519870820101 62027 164, valid, visa
4485322489930929 112025 848, invalid, visa
4859299881813283 32026 792, invalid, visa
4556496853807220 122026 832, invalid, visa
4929290493002916 12022 908, invalid, visa
4024007145937594 22028 882, invalid, visa
4532074926655683 32027 410, invalid, visa
4916609411975223 112028 793, invalid, visa
4916449973718236 92022 500, invalid, visa
4485076840475277 42023 537, invalid, visa
4485233995449892 22025 557, invalid, visa
4024007114651499 22022 990, valid, visa
4485878626723444 32028 455, invalid, visa
4532817385341355 72027 493, valid, visa
4556551996835700 62023 409, invalid, visa
4532142677202854 42024 662, invalid, visa
4485642268589004 62027 706, invalid, visa
4556971306730526 72025 948, invalid, visa
4916358207907988 102027 266, invalid, visa
4702928548885362 52027 961, invalid, visa
4556590100233204 82028 496, invalid, visa
4485516888189900 122026 575, invalid, visa
4024007117091362 112022 584, invalid, visa
4670339846590241 82022 498, invalid, visa
4532184024670334 42024 273, valid, visa
4024007104937395 22024 182, invalid, visa
4073646814361139 122024 389, valid, visa
4485959723661982 32024 211, invalid, visa
4204629613590928 62025 881, invalid, visa
4532173019664360 22022 459, invalid, visa
4916135685822057 122023 420, invalid, visa
4532654066195275 122025 507, invalid, visa
4539117174039036 72026 480, invalid, visa
4929926784187474 52029 387, invalid, visa
4532675571708500 112025 355, invalid, visa
4485606309365054 112029 522, invalid, visa
4539456145113664 112023 423, invalid, visa
4916625686854828 32026 462, invalid, visa
4929484237579749 72025 276, invalid, visa
4916863658544073 102023 685, invalid, visa
4489953095918381 62027 283, invalid, visa
4024007106919458 112026 361, invalid, visa
4024007109814698 72023 539, invalid, visa
4532890700021986 32029 578, invalid, visa
4485641040344506 22022 748, invalid, visa
4916939176327124 72027 504, invalid, visa
4929506501554527 92025 557, invalid, visa
4716210943237000 82029 723, invalid, visa
4532553553150183 102023 584, invalid, visa
4485882831895773 52023 759, invalid, visa
4929889210882755 122026 668, valid, visa
4916225264202860 52027 147, invalid, visa
4181246689131151 72025 643, invalid, visa
4916998321434375 32024 333, valid, visa
4916367543503823 92025 451, valid, visa
4834664981510743 52029 466, invalid, visa
4916773239405696 12028 377, invalid, visa
4916257057533888 82026 282, invalid, visa
4929633167640232 102028 929, invalid, visa
4532649750474127 92026 104, invalid, visa
4532583140008701 62022 566, invalid, visa
4485385886577833 82024 253, invalid, visa
4916225028283511 82024 986, invalid, visa
4539490492492538 52027 135, invalid, visa
4716619046776757 82026 759, invalid, visa
4539876379323871 72029 611, invalid, visa
4716710719319098 82027 408, invalid, visa
4532706896600450 82028 683, invalid, visa
4716679040376319 102025 764, invalid, visa
4532860404565398 92027 567, invalid, visa
4741107351103238 112024 925, invalid, visa
4459855927870761 22025 264, invalid, visa
4024007187828966 92029 189, invalid, visa
4485258274525567 92027 250, invalid, visa
4556190037019444 22025 260, invalid, visa
4485973340881758 112023 952, invalid, visa
4532289881146771 102029 411, invalid, visa
4556914319488179 12029 939, invalid, visa
4716763586909624 12024 702, invalid, visa
4024007173109181 72026 246, invalid, visa
4929294107196205 32027 959, invalid, visa
4916547086652737 42023 473, valid, visa
4532387404576092 92026 443, invalid, visa
4024007160600804 102027 934, invalid, visa
4916392533078453 72022 438, invalid, visa
4716706590756747 92024 691, invalid, visa
4539885350617276 22026 860, invalid, visa
4855470559543122 72026 641, invalid, visa
4539378792548895 92022 566, invalid, visa
4539850844337113 32029 905, invalid, visa
4891168080060840 32023 488, invalid, visa
4916385934046376 42023 117, invalid, visa
